,0,1,2,3,4,5,6,7,8
50,9645.0,10452.0,12414.0,13725.0,16784.0,15752.0,0.10026549542757875,-0.14966778546475787,0.0
51,8793.5,9332.5,10784.0,11723.0,16428.5,13467.0,0.16714917499955598,-0.2074230592558567,0.0
52,9150.5,9867.0,11520.0,12747.5,17257.0,14272.5,0.15029412254828442,-0.19936060047954965,0.0
53,8579.5,9053.0,10262.0,10619.5,16450.0,11771.0,0.21539001459206855,-0.23165618448637318,0.0
54,8742.5,9317.0,10737.0,11529.5,16542.5,13248.0,0.17857651752636078,-0.21281548415476823,0.0
55,8491.0,8969.0,10322.0,11025.0,16698.0,12967.0,0.20463153338383291,-0.23597335307179867,0.0
56,8499.5,9036.0,10300.5,10983.0,16136.5,12433.5,0.1900293146997548,-0.22075121988122706,0.0
57,9162.5,9770.0,11273.0,12260.0,16353.0,14419.5,0.1430468668087932,-0.1838847462535293,0.0
58,9117.0,9633.5,11061.0,12212.0,16915.0,14885.0,0.16146530710337487,-0.20925078638833286,0.0
59,8631.0,9107.0,10295.0,10957.0,16801.0,12862.0,0.21053390013689746,-0.24010924121641572,0.0
60,9228.0,9997.0,11790.5,12938.5,16644.0,14929.0,0.12525986647511198,-0.17069053438604512,0.0
61,9342.5,10136.5,11738.5,12894.5,18287.0,14567.5,0.17293908246877154,-0.21809795007576893,0.0
62,9357.0,9985.0,11593.0,12712.0,17059.0,15442.0,0.14601457794498002,-0.19077202289543488,0.0
63,8941.5,9437.0,10794.0,11836.0,15688.0,14233.0,0.13995058857724169,-0.18480477305339477,0.0
64,9071.0,9733.5,11432.0,12358.0,17100.5,14174.0,0.160989188179982,-0.19866818540261105,0.0
65,8250.0,8872.5,10288.5,10795.5,17236.0,11912.75,0.22975937784278402,-0.25241148794710166,0.0
66,8445.0,8936.5,10213.5,10914.0,15855.0,12345.5,0.1845791774067018,-0.21641061050693366,0.0
67,8889.5,9494.5,11023.0,11938.0,16329.0,13694.5,0.15534014929069231,-0.1939894706054402,0.0
68,8807.0,9420.0,10887.0,11626.0,16749.0,13467.0,0.18054625550660794,-0.21211463308727746,0.0
69,9186.0,9924.5,11575.0,12865.0,17289.5,14743.0,0.14672768575171202,-0.19797675345147153,0.0
70,9361.0,10136.5,12022.0,13395.0,17436.0,16142.0,0.1310693782232169,-0.18378708669970806,0.0
71,8590.5,9150.5,10668.0,11083.0,18090.0,12912.0,0.24018784492510198,-0.25808470686417695,0.0
72,11106.0,12189.0,13621.0,15136.0,19435.0,17391.0,0.1243527812328252,-0.17588334946757017,0.0
73,8768.5,9403.0,10990.5,11702.0,16566.0,13236.5,0.17206735531342862,-0.20232975885907137,0.0
74,9028.5,9628.5,11179.0,12292.0,17413.5,14678.0,0.17240914982074027,-0.2180466905657078,0.0
75,8615.0,9064.0,10301.0,10737.0,16911.0,12330.0,0.22330729166666666,-0.24290754079082758,0.0
76,9037.0,9649.0,11066.0,11979.0,16292.0,14293.0,0.15255915956280286,-0.19102273558008626,0.0
77,8995.0,9522.0,10970.0,11903.0,16816.0,14458.0,0.17107141613565932,-0.21039372345785648,0.0
78,8525.0,9183.0,10675.5,11436.5,16230.5,12749.5,0.17327502078288212,-0.2064595257563369,0.0
